dataset,seed,round,mode,batch_size,candidate_count,candidate_target_count,candidate_target_prevalence,proposed_target_count,binomial_tail_p,alpha,would_flag,is_control,is_targeted
gfp_b37,1,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.001,False,True,False
gfp_b37,1,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.0001,False,True,False
gfp_b37,1,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.05,False,True,False
gfp_b37,1,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.01,False,True,False
gfp_b37,1,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.001,False,True,False
gfp_b37,1,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.0001,False,True,False
gfp_b37,1,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.05,False,True,False
gfp_b37,1,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.01,False,True,False
gfp_b37,1,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.001,False,True,False
gfp_b37,1,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.0001,False,True,False
gfp_b37,1,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.05,False,True,False
gfp_b37,1,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.01,False,True,False
gfp_b37,1,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.001,False,True,False
gfp_b37,1,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.0001,False,True,False
gfp_b37,1,0,targeted_swap,100,45520,240,0.005272407732864675,21,1.9914819187127816e-27,0.05,True,False,True
gfp_b37,1,0,targeted_swap,100,45520,240,0.005272407732864675,21,1.9914819187127816e-27,0.01,True,False,True
gfp_b37,1,0,targeted_swap,100,45520,240,0.005272407732864675,21,1.9914819187127816e-27,0.001,True,False,True
gfp_b37,1,0,targeted_swap,100,45520,240,0.005272407732864675,21,1.9914819187127816e-27,0.0001,True,False,True
gfp_b37,1,1,targeted_swap,100,45420,240,0.005284015852047556,78,1.6086077150385035e-156,0.05,True,False,True
gfp_b37,1,1,targeted_swap,100,45420,240,0.005284015852047556,78,1.6086077150385035e-156,0.01,True,False,True
gfp_b37,1,1,targeted_swap,100,45420,240,0.005284015852047556,78,1.6086077150385035e-156,0.001,True,False,True
gfp_b37,1,1,targeted_swap,100,45420,240,0.005284015852047556,78,1.6086077150385035e-156,0.0001,True,False,True
gfp_b37,1,2,targeted_swap,100,45320,240,0.00529567519858782,92,7.115942413712027e-199,0.05,True,False,True
gfp_b37,1,2,targeted_swap,100,45320,240,0.00529567519858782,92,7.115942413712027e-199,0.01,True,False,True
gfp_b37,1,2,targeted_swap,100,45320,240,0.00529567519858782,92,7.115942413712027e-199,0.001,True,False,True
gfp_b37,1,2,targeted_swap,100,45320,240,0.00529567519858782,92,7.115942413712027e-199,0.0001,True,False,True
gfp_b37,1,3,targeted_swap,100,45220,240,0.005307386112339673,100,3.0765811174437664e-228,0.05,True,False,True
gfp_b37,1,3,targeted_swap,100,45220,240,0.005307386112339673,100,3.0765811174437664e-228,0.01,True,False,True
gfp_b37,1,3,targeted_swap,100,45220,240,0.005307386112339673,100,3.0765811174437664e-228,0.001,True,False,True
gfp_b37,1,3,targeted_swap,100,45220,240,0.005307386112339673,100,3.0765811174437664e-228,0.0001,True,False,True
gfp_b37,1,4,targeted_swap,100,45120,240,0.005319148936170213,100,3.838973141025045e-228,0.05,True,False,True
gfp_b37,1,4,targeted_swap,100,45120,240,0.005319148936170213,100,3.838973141025045e-228,0.01,True,False,True
gfp_b37,1,4,targeted_swap,100,45120,240,0.005319148936170213,100,3.838973141025045e-228,0.001,True,False,True
gfp_b37,1,4,targeted_swap,100,45120,240,0.005319148936170213,100,3.838973141025045e-228,0.0001,True,False,True
gfp_b37,2,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.05,False,True,False
gfp_b37,2,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.01,False,True,False
gfp_b37,2,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.001,False,True,False
gfp_b37,2,0,clean,100,45520,240,0.005272407732864675,0,1.0,0.0001,False,True,False
gfp_b37,2,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.05,False,True,False
gfp_b37,2,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.01,False,True,False
gfp_b37,2,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.001,False,True,False
gfp_b37,2,1,clean,100,45420,240,0.005284015852047556,0,1.0,0.0001,False,True,False
gfp_b37,2,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.05,False,True,False
gfp_b37,2,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.01,False,True,False
gfp_b37,2,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.001,False,True,False
gfp_b37,2,2,clean,100,45320,240,0.00529567519858782,0,1.0,0.0001,False,True,False
gfp_b37,2,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.05,False,True,False
gfp_b37,2,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.01,False,True,False
gfp_b37,2,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.001,False,True,False
gfp_b37,2,3,clean,100,45220,240,0.005307386112339673,0,1.0,0.0001,False,True,False
gfp_b37,2,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.05,False,True,False
gfp_b37,2,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.01,False,True,False
gfp_b37,2,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.001,False,True,False
gfp_b37,2,4,clean,100,45120,240,0.005319148936170213,0,1.0,0.0001,False,True,False
gfp_b37,2,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.05,False,True,False
gfp_b37,2,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.01,False,True,False
gfp_b37,2,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.001,False,True,False
gfp_b37,2,0,random_swap,100,45520,240,0.005272407732864675,0,1.0,0.0001,False,True,False
gfp_b37,2,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.05,False,True,False
gfp_b37,2,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.01,False,True,False
gfp_b37,2,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.001,False,True,False
gfp_b37,2,1,random_swap,100,45420,240,0.005284015852047556,0,1.0,0.0001,False,True,False
gfp_b37,2,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.05,False,True,False
gfp_b37,2,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.01,False,True,False
gfp_b37,2,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.001,False,True,False
gfp_b37,2,2,random_swap,100,45320,240,0.00529567519858782,0,1.0,0.0001,False,True,False
gfp_b37,2,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.05,False,True,False
gfp_b37,2,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.01,False,True,False
gfp_b37,2,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.001,False,True,False
gfp_b37,2,3,random_swap,100,45220,240,0.005307386112339673,0,1.0,0.0001,False,True,False
gfp_b37,2,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.05,False,True,False
gfp_b37,2,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.01,False,True,False
gfp_b37,2,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.001,False,True,False
gfp_b37,2,4,random_swap,100,45120,240,0.005319148936170213,0,1.0,0.0001,False,True,False
gfp_b37,2,0,targeted_swap,100,45520,240,0.005272407732864675,1,0.41059138505225135,0.05,False,False,True
gfp_b37,2,0,targeted_swap,100,45520,240,0.005272407732864675,1,0.41059138505225135,0.01,False,False,True
