dataset,model,mode,seed,round,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,discordance_score,calibration,threshold_source,score_threshold,flagged
gfp,mlp,clean,0,4,pos=172,100,5,0.05,3.731604679052973,3.6913604430939997,0.040244235958973196,0.0020122117979486597,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=5,100,8,0.08,3.731604679052973,3.70793940840125,0.02366527065172308,0.0018932216521378464,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024766696774364848,False
gfp,mlp,clean,0,4,pos=214,100,12,0.12,3.731604679052973,3.723758232750834,0.007846446302139043,0.0009415735562566852,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.03143322269169655,False
gfp,mlp,clean,0,4,pos=197,100,5,0.05,3.731604679052973,3.7195359123799996,0.012068766672973297,0.0006034383336486649,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=128,100,5,0.05,3.731604679052973,3.781996784646,-0.0503921055930272,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=156,100,9,0.09,3.731604679052973,3.7451082912599998,-0.013503612207026894,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=158,100,26,0.26,3.731604679052973,3.7643170862021282,-0.032712407149155354,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024766696774364848,False
gfp,mlp,clean,0,4,pos=163,100,14,0.14,3.731604679052973,3.743288410152857,-0.011683731099884298,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024766696774364848,False
gfp,mlp,clean,0,4,pos=166,100,9,0.09,3.731604679052973,3.738735382965555,-0.0071307039125820815,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024766696774364848,False
gfp,mlp,clean,0,4,pos=170,100,13,0.13,3.731604679052973,3.7410493873923083,-0.009444708339335417,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=198,100,7,0.07,3.731604679052973,3.806210883964286,-0.07460620491131298,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=84,100,8,0.08,3.731604679052973,3.7804764284815,-0.0488717494285269,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,0,4,pos=90,100,6,0.06,3.731604679052973,3.769748104868333,-0.03814342581536012,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.024914008919432414,False
gfp,mlp,clean,1,1,pos=60,100,7,0.07,3.5779405791197787,1.50225777675,2.0756828023697786,0.1452977961658845,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.03117991197730205,True
gfp,mlp,clean,1,1,pos=135,100,9,0.09,3.5779405791197787,3.4183739844555556,0.15956659466422307,0.014360993519780076,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04427359224191221,False
gfp,mlp,clean,1,1,pos=212,100,8,0.08,3.5779405791197787,3.4426098482125003,0.13533073090727843,0.010826458472582274,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=105,100,5,0.05,3.5779405791197787,3.803961929084001,-0.2260213499642223,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=117,100,8,0.08,3.5779405791197787,3.74261216788,-0.16467158876022125,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=124,100,5,0.05,3.5779405791197787,3.8048101769690006,-0.2268695978492219,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=133,100,5,0.05,3.5779405791197787,3.67350595789,-0.09556537877022109,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=146,100,8,0.08,3.5779405791197787,3.7318738772625,-0.1539332981427215,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=158,100,13,0.13,3.5779405791197787,3.7681598628469226,-0.19021928372714392,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=162,100,11,0.11,3.5779405791197787,3.7168186313890903,-0.1388780522693116,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=171,100,5,0.05,3.5779405791197787,3.8234978424220003,-0.2455572633022216,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=184,100,11,0.11,3.5779405791197787,3.706137608977727,-0.12819702985794823,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=214,100,9,0.09,3.5779405791197787,3.7941854393900005,-0.21624486027022183,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=25,100,6,0.06,3.5779405791197787,3.6874397792958327,-0.10949920017605397,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
gfp,mlp,clean,1,1,pos=39,100,8,0.08,3.5779405791197787,3.8253753866590623,-0.2474348075392836,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.04090783365208539,False
gfp,mlp,clean,1,1,pos=47,100,9,0.09,3.5779405791197787,3.739878428817778,-0.16193784969799951,0.0,within_campaign_feedback_discordance,early_same_axis_plus_same_round_peer_axes,0.047454673784390236,False
