dataset,seed,mode,screen,history_count,pair_positive_count,target_positive_count,pair_auroc,pair_topk_recall,pair_topk_precision,target_auroc,target_topk_recall,target_topk_precision
Materials B18,6,random_swap,feature_knn_residual,1184,50,25,0.7080599647266312,0.38,0.38,0.4377221742881795,0.0,0.0
Materials B18,6,targeted_swap,label_z_extremeness,1184,50,25,0.7854585537918871,0.5,0.5,0.9999309749784296,1.0,1.0
Materials B18,6,targeted_swap,feature_knn_residual,1184,50,25,0.9208818342151676,0.52,0.52,0.9902329594477999,0.68,0.68
Materials B18,7,clean,label_z_extremeness,1184,50,25,0.7821516754850089,0.5,0.5,0.5522001725625539,0.0,0.0
Materials B18,7,clean,feature_knn_residual,1184,50,25,0.6964726631393298,0.4,0.4,0.40873166522864546,0.0,0.0
Materials B18,7,random_swap,label_z_extremeness,1184,50,25,0.7730070546737213,0.48,0.48,0.5522001725625539,0.0,0.0
Materials B18,7,random_swap,feature_knn_residual,1184,50,25,0.6851851851851852,0.4,0.4,0.38657463330457287,0.0,0.0
Materials B18,7,targeted_swap,label_z_extremeness,1184,50,25,0.7821516754850089,0.5,0.5,0.9999309749784298,0.96,0.96
Materials B18,7,targeted_swap,feature_knn_residual,1184,50,25,0.8961111111111111,0.48,0.48,0.9872993960310613,0.6,0.6
Materials B18,8,clean,label_z_extremeness,1184,50,25,0.7742151675485008,0.5,0.5,0.5366695427092321,0.0,0.0
Materials B18,8,clean,feature_knn_residual,1184,50,25,0.7010052910052911,0.42,0.42,0.4175323554788611,0.0,0.0
Materials B18,8,random_swap,label_z_extremeness,1184,50,25,0.7533686067019401,0.46,0.46,0.5538912855910267,0.0,0.0
Materials B18,8,random_swap,feature_knn_residual,1184,50,25,0.7308377425044092,0.4,0.4,0.4845901639344262,0.04,0.04
Materials B18,8,targeted_swap,label_z_extremeness,1184,50,25,0.7742151675485008,0.5,0.5,0.9999309749784296,0.96,0.96
Materials B18,8,targeted_swap,feature_knn_residual,1184,50,25,0.9084479717813051,0.48,0.48,0.9871958584987057,0.72,0.72
Materials B18,9,clean,label_z_extremeness,1184,50,25,0.7810493827160494,0.5,0.5,0.5500431406384815,0.0,0.0
Materials B18,9,clean,feature_knn_residual,1184,50,25,0.7158906525573192,0.4,0.4,0.4517515099223468,0.0,0.0
Materials B18,9,random_swap,label_z_extremeness,1184,50,25,0.7696384479717813,0.46,0.46,0.563364969801553,0.0,0.0
Materials B18,9,random_swap,feature_knn_residual,1184,50,25,0.7288888888888889,0.4,0.4,0.4700949094046592,0.0,0.0
Materials B18,9,targeted_swap,label_z_extremeness,1184,50,25,0.7810493827160494,0.5,0.5,0.9999309749784298,0.96,0.96
Materials B18,9,targeted_swap,feature_knn_residual,1184,50,25,0.9217989417989418,0.48,0.48,0.9815012942191544,0.68,0.68
