dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,clean,2,seed,PrinterNumber=1,200,102,0.51,22.958054310799998,23.903197794901963,-0.9451434841019655,0.0,10
BEAR B70,rf_ucb,clean,3,seed,PrinterNumber=3,200,87,0.435,22.0083578934,20.928612805287358,1.0797450881126416,0.4696891133289991,1
BEAR B70,rf_ucb,clean,3,seed,DecisionPolicy=7,200,22,0.11,22.0083578934,19.724829889318183,2.283528004081816,0.25118808044899976,2
BEAR B70,rf_ucb,clean,3,seed,NozzleSize=0.5,200,12,0.06,22.0083578934,18.229439790416667,3.778918102983333,0.22673508617899996,3
BEAR B70,rf_ucb,clean,3,seed,PrinterNozzle=1,200,12,0.06,22.0083578934,18.229439790416667,3.778918102983333,0.22673508617899996,4
BEAR B70,rf_ucb,clean,3,seed,PrinterNumber=2,200,12,0.06,22.0083578934,18.229439790416667,3.778918102983333,0.22673508617899996,5
BEAR B70,rf_ucb,clean,3,seed,PrinterNumber=4,200,30,0.15,22.0083578934,20.960310626833326,1.0480472665666731,0.15720708998500096,6
BEAR B70,rf_ucb,clean,3,seed,DecisionPolicy=8,200,178,0.89,22.0083578934,22.290591691657305,-0.2822337982573053,0.0,7
BEAR B70,rf_ucb,clean,3,seed,NozzleSize=0.75,200,188,0.94,22.0083578934,22.249565431888296,-0.2412075384882968,0.0,8
BEAR B70,rf_ucb,clean,3,seed,PrinterNozzle=0,200,188,0.94,22.0083578934,22.249565431888296,-0.2412075384882968,0.0,9
BEAR B70,rf_ucb,clean,3,seed,PrinterNumber=1,200,71,0.355,22.0083578934,24.412953075070423,-2.404595181670423,0.0,10
BEAR B70,rf_ucb,clean,4,seed,PrinterNumber=3,200,62,0.31,26.790912294800002,24.340489416209678,2.4504228785903237,0.7596310923630003,1
BEAR B70,rf_ucb,clean,4,seed,PrinterNumber=4,200,16,0.08,26.790912294800002,21.5669739190625,5.2239383757375,0.417915070059,2
BEAR B70,rf_ucb,clean,4,seed,DecisionPolicy=7,200,13,0.065,26.790912294800002,22.06600396307692,4.724908331723082,0.3071190415620003,3
BEAR B70,rf_ucb,clean,4,seed,NozzleSize=0.5,200,6,0.03,26.790912294800002,20.691236978333333,6.099675316466669,0.18299025949400008,4
BEAR B70,rf_ucb,clean,4,seed,PrinterNozzle=1,200,6,0.03,26.790912294800002,20.691236978333333,6.099675316466669,0.18299025949400008,5
