seed,mode,round,pairs_used,label_multiset_preserved,batch_target_count,batch_target_fraction,batch_true_mean,batch_target_true_mean,candidate_target_count,mean_prediction_target,mean_prediction_non_target,mean_uncertainty_target,mean_uncertainty_non_target
4,clean,1,0,True,0,0.0,30.819235245749997,,839,3.3620876643837105,14.449372541138917,1.1989486606901039,1.763963822895612
4,clean,2,0,True,0,0.0,28.788917122249995,,839,3.8041547675680234,13.95866200513792,1.2037778673566453,1.4165378219403626
4,clean,3,0,True,0,0.0,26.461202622500004,,839,4.999930280936664,15.49323911547572,0.9921577812134401,1.338655717427111
4,clean,4,0,True,0,0.0,23.578295339375,,839,3.704121207045593,11.826828242531601,1.0973051860021696,1.2696942493200596
4,random_swap,0,100,True,0,0.0,27.375658493500005,,839,5.246997028545641,14.975038132964709,0.8370036639333714,1.2058198854269573
4,random_swap,1,100,True,0,0.0,32.343725254000006,,839,4.690094381410074,16.83286066679775,1.1946726304358968,1.8709122953486734
4,random_swap,2,100,True,0,0.0,29.558941122375007,,839,5.073050080100693,16.35246302361473,1.1518052615420196,1.4152627453216016
4,random_swap,3,100,True,0,0.0,24.85612097025,,839,6.20133133461932,17.73542895819819,0.9898619729443977,1.3114432241860836
4,random_swap,4,100,True,0,0.0,24.493443369375,,839,4.98422501521586,12.999440155187404,1.0516312447650555,1.1957389655285668
4,targeted_relink,0,100,True,40,1.0,1.2605181015,1.2605181015,839,17.45242209618471,7.832493613203251,1.9396195180870996,0.8863075648717722
4,targeted_relink,1,100,True,36,0.9,5.639532665,3.5956279119444443,799,14.817922001647176,17.033747263540015,3.077224599107693,3.348737862717142
4,targeted_relink,2,100,True,0,0.0,29.3434023205,,763,6.143182787245489,14.304520495916334,1.8006942689154735,2.15366528738287
4,targeted_relink,3,100,True,0,0.0,33.3361823545,,763,6.675604120729282,14.242435003010623,1.6265479960264724,1.527015260822345
4,targeted_relink,4,100,True,0,0.0,24.071865076,,763,6.5453895190885225,10.637734840707925,1.7740767083699975,1.4608885133794374
5,clean,0,0,True,0,0.0,22.397029490125,,839,4.337483393228364,14.820545950796884,1.0203104998632402,1.3233515949179402
5,clean,1,0,True,0,0.0,33.453962043749996,,839,5.152059122028163,15.10519243804693,1.1392292024463029,1.2524663018485642
5,clean,2,0,True,0,0.0,30.629246654999996,,839,3.3093000066988276,13.806534347857424,1.1880511588982972,1.5935035057810676
5,clean,3,0,True,0,0.0,26.931368696875,,839,4.879450028499943,14.983943722493365,1.054765196712325,1.3167466497519564
5,clean,4,0,True,0,0.0,23.391870309250002,,839,4.824062832590258,14.66523956344268,1.1166644239192438,1.3553108718455293
5,random_swap,0,100,True,0,0.0,23.933208866999998,,839,5.032124236705863,14.878233650994773,1.0825143822506016,1.2729027782116713
5,random_swap,1,100,True,0,0.0,31.986832779000004,,839,4.875743291600988,16.89283360358761,1.2733912837738774,1.6352715413449561
5,random_swap,2,100,True,0,0.0,30.432482307124996,,839,3.181946216169317,12.206675891837454,1.23122343969772,1.5664317206775333
5,random_swap,3,100,True,0,0.0,26.440172025499997,,839,4.470677426987858,14.542623521145142,1.0892883986631954,1.253411889224527
5,random_swap,4,100,True,0,0.0,23.584065865125,,839,4.649201772645883,13.947767532516743,1.1418636425590019,1.3504073184245202
5,targeted_relink,0,100,True,40,1.0,1.213872394875,1.213872394875,839,18.644725520676033,8.878728368297791,2.0271424426108515,1.1539110284068337
5,targeted_relink,1,100,True,40,1.0,2.03320171775,2.03320171775,799,16.232004672590527,12.668585664103276,2.895894874162035,2.933708194849093
5,targeted_relink,2,100,True,40,1.0,7.208096691250001,7.208096691250001,759,5.258706052597935,3.159981389686697,1.7288800145660654,1.1818666005273248
5,targeted_relink,3,100,True,27,0.675,12.309371268125002,7.333507735740739,719,3.8868917332754616,5.033282892556027,1.6487891757871476,1.2558399296355567
5,targeted_relink,4,100,True,0,0.0,24.076618113749998,,692,3.745780516707585,7.6360120805539635,1.6808092919520177,1.6258948522105596
6,clean,0,0,True,0,0.0,24.703616025000002,,839,4.017675598611438,13.310084938624001,0.9200356963478351,1.321689654520587
6,clean,1,0,True,0,0.0,32.206344902750004,,839,5.466593371502358,18.16097250422796,1.2176975152009384,1.7686163774906756
6,clean,2,0,True,0,0.0,28.746499362125,,839,3.8000940682592357,13.550612698782341,1.1136126932776942,1.4776925743738636
6,clean,3,0,True,0,0.0,27.44563589475,,839,5.029370306924647,14.35707537909298,1.10176697980272,1.3857506063811167
6,clean,4,0,True,0,0.0,24.1931237975,,839,3.6905933789542287,11.411306741997013,1.081161807357594,1.4071813429236888
6,random_swap,0,100,True,0,0.0,23.2390275285,,839,4.763147957045971,13.49292508069871,0.9161231568913688,1.288938159705339
6,random_swap,1,100,True,0,0.0,33.5817552315,,839,5.292336585236907,17.575829805923735,1.1763980756248926,1.7107919594614467
6,random_swap,2,100,True,0,0.0,30.4033579325,,839,4.816951227870473,15.72477580733966,1.1298968002453278,1.540251429826026
6,random_swap,3,100,True,0,0.0,26.695010614375,,839,4.46398010386222,15.449646985016653,1.1674159032531588,1.3973154742271976
6,random_swap,4,100,True,0,0.0,24.01759524475,,839,3.6684773576455463,12.934156401569194,1.2143940457106595,1.5778214787111073
6,targeted_relink,0,100,True,40,1.0,1.232115311125,1.232115311125,839,17.505324320236532,7.151098202265791,1.863365531490743,0.8692141769580735
6,targeted_relink,1,100,True,33,0.825,6.500482218124999,2.796623836818182,799,15.028635067327324,13.75749513013109,3.5704000716372297,4.4207706604205965
6,targeted_relink,2,100,True,7,0.175,26.277466088874995,2.7287270749999997,766,5.471707763349966,6.832329456702879,1.6475094638123098,1.504897737485851
6,targeted_relink,3,100,True,0,0.0,30.2859764315,,759,6.109936867458552,11.660869058911652,1.792125599404027,1.6893015018405977
6,targeted_relink,4,100,True,0,0.0,29.062079363374995,,759,4.969664582697355,10.796012541825617,1.8243805379597293,1.625790147388562
7,clean,0,0,True,0,0.0,22.885745919999998,,839,4.254751093684549,13.707552353249493,0.9149966217512461,1.3431351278434134
7,clean,1,0,True,0,0.0,32.2957747965,,839,4.48295977116609,13.853653833472672,1.313422127410182,1.6122821795053945
7,clean,2,0,True,0,0.0,31.04497661025,,839,4.0871603575376785,14.733808547574856,1.0966213182186828,1.4736553392384086
7,clean,3,0,True,0,0.0,25.765343445125,,839,4.357681411759666,13.509354756721791,1.048823920568149,1.243057862912243
7,clean,4,0,True,0,0.0,24.102346420875,,839,4.043877433874505,12.788476622135033,1.0574064587705658,1.3980303208945513
7,random_swap,0,100,True,0,0.0,24.597531409124997,,839,4.821353427952011,14.461964551233653,0.8490902092953699,1.135403580373019
7,random_swap,1,100,True,0,0.0,32.377229299999996,,839,5.164758699636423,15.44076523474746,1.2900453219166392,1.5827630340620122
7,random_swap,2,100,True,0,0.0,30.10885174875,,839,4.987219169352545,15.243428866552435,1.012235883221584,1.3931340814188475
7,random_swap,3,100,True,0,0.0,26.164446359124998,,839,4.831272034481398,14.321900232697699,1.0195062334567189,1.2560958893561736
7,random_swap,4,100,True,0,0.0,23.897542447124998,,839,5.138789151988942,13.703847938323847,1.0344476762162615,1.2851308384818945
7,targeted_relink,0,100,True,40,1.0,1.193650302875,1.193650302875,839,18.975819075242043,9.034769962602455,1.9132865409378375,1.0974302696142502
7,targeted_relink,1,100,True,37,0.925,3.9164238943750007,2.3065400085135135,799,9.428199877001916,5.452724435551282,3.0137595609830474,3.4422450873871884
7,targeted_relink,2,100,True,2,0.05,25.91004995475,13.4170516425,762,5.358446452675627,6.4700309481836245,2.294444071179055,2.6645066486279574
7,targeted_relink,3,100,True,0,0.0,31.32573535675,,760,7.233752854615251,13.109643088938439,1.7431789774091262,1.9104346322746781
7,targeted_relink,4,100,True,0,0.0,30.419851975125,,760,8.470827031428925,13.991673446090447,2.0680049035530015,1.868651120449616
8,clean,0,0,True,0,0.0,25.243402219375003,,839,4.675387772864712,15.87512274476305,0.9761147382516185,1.4521304038450258
8,clean,1,0,True,0,0.0,32.8094574915,,839,2.9712869534449564,11.887092504888436,1.1224293187541572,1.4856545436573196
8,clean,2,0,True,0,0.0,28.73510754125,,839,3.436270568721597,13.183367577578617,1.1639891630197485,1.5299928325371215
8,clean,3,0,True,0,0.0,25.970336882000005,,839,2.644236555473916,10.982314061769184,1.0230562353265193,1.2798955123714433
8,clean,4,0,True,0,0.0,24.488140053874996,,839,4.772198240708247,12.885188399366225,1.0071513204726215,1.264143461423039
8,random_swap,0,100,True,0,0.0,25.363524302000002,,839,5.330655086365764,15.754280201378025,1.1013887904594675,1.4228716156755878
8,random_swap,1,100,True,0,0.0,33.44437755775,,839,3.7828514051725706,15.585882908330861,1.2361872071999505,1.720851808218352
8,random_swap,2,100,True,0,0.0,28.549364131874995,,839,4.091981151790578,15.387267647460858,1.2745230371792606,1.621794957411835
8,random_swap,3,100,True,0,0.0,25.997798271249998,,839,4.529216410280071,13.655048488515845,1.0077220798568303,1.3301611641157431
8,random_swap,4,100,True,0,0.0,23.917175273875,,839,5.481485100346744,14.718637792464786,1.0959813560857716,1.3476748788955606
8,targeted_relink,0,100,True,40,1.0,1.176833830625,1.176833830625,839,18.71498100760596,9.510181785479292,1.9843615897157374,1.0532387349795802
8,targeted_relink,1,100,True,36,0.9,4.8830624651250005,2.7263781262499998,799,14.088970216433076,14.182356368289103,2.9512283919729883,3.0243736264393286
8,targeted_relink,2,100,True,33,0.825,7.260382425,3.7299466275757576,763,6.211092258009592,7.320978196971062,1.7626597949792344,1.183379785535271
8,targeted_relink,3,100,True,0,0.0,30.10255718825,,730,5.263981069283201,12.016301486793227,1.5989965853798012,1.5967868494885316
8,targeted_relink,4,100,True,0,0.0,31.65043438325,,730,4.296188206479009,11.335427738807855,1.8746525680954955,1.6054971277887466
9,clean,0,0,True,0,0.0,22.4051603245,,839,3.9756834123964753,14.113352530138105,0.9891880312217026,1.2646393598692023
9,clean,1,0,True,0,0.0,32.993645453125,,839,5.359443906338348,15.482497816537578,1.038915557626095,1.4531845562636492
