dataset,run_dir,model,detection_round,threshold,mode,seed,candidate_count,candidate_target_count,candidate_target_prevalence,cumulative_selected_count,cumulative_target_count,cumulative_target_fraction,concentration_ratio,flagged,is_target_mode
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,0,45420,240,0.005284015852047556,200,1,0.005,0.94625,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,1,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,2,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,3,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,4,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,5,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,6,45420,239,0.005261999119330691,200,1,0.005,0.9502092050209205,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,7,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,8,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,clean,9,45420,240,0.005284015852047556,200,1,0.005,0.94625,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,0,45420,240,0.005284015852047556,200,1,0.005,0.94625,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,1,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,2,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,3,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,4,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,5,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,6,45420,239,0.005261999119330691,200,1,0.005,0.9502092050209205,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,7,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,8,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,random_swap,9,45420,240,0.005284015852047556,200,0,0.0,0.0,False,False
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,0,45420,200,0.004403346543372964,200,40,0.2,45.42,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,1,45420,237,0.0052179656538969615,200,5,0.025,4.79113924050633,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,2,45420,239,0.005261999119330691,200,75,0.375,71.26569037656904,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,3,45420,182,0.004007045354469396,200,58,0.29,72.37252747252748,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,4,45420,235,0.005173932188463232,200,47,0.235,45.419999999999995,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,5,45420,233,0.0051298987230295025,200,10,0.05,9.746781115879829,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,6,45420,217,0.004777630999559666,200,23,0.115,24.070506912442397,True,True
b25_gfp_epsilon_greedy_mlp,runs/20260530T041559Z_b25-gfp-epsgreedy20-pos27-disttrigger-dim32-s003-25swap-bg2048-mlp-10seed-80ep,mlp,1,0.9502092050209205,targeted_swap,7,45420,240,0.005284015852047556,200,62,0.31,58.6675,True,True
